,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_contract_valid_until,nationality_name,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_flag_url
4396,236368,https://sofifa.com/player/236368/giulio-maggiore/220002,G. Maggiore,Giulio Maggiore,CM,71,75,2700000.0,10000.0,23,1998-03-12,184,69,110741.0,Spezia,Italian Serie A,1.0,LCM,25.0,2023.0,Italy,Right,3,3,1,Medium/Medium,Lean (170-185),No,66.0,59.0,65.0,70.0,64.0,67.0,48,58,52,74,48,70,55,42,71,72,70,63,64,73,67,63,64,74,65,61,65,70,62,71,53,70,58,69,67,6,8,9,8,6,,64+2,64+2,64+2,66,67,67,67,66,69+2,69+2,69+2,67+2,71+2,71+2,71+2,67+2,67+2,70+2,70+2,70+2,67+2,66+2,65+2,65+2,65+2,66+2,14+2,https://cdn.sofifa.net/players/236/368/22_120.png,https://cdn.sofifa.net/teams/110741/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/it.png
4398,236621,https://sofifa.com/player/236621/pierre-yves-hamel/220002,P. Hamel,Pierre-Yves Hamel,ST,71,72,2200000.0,14000.0,27,1994-02-03,189,76,1815.0,Clermont Foot 63,French Ligue 1,1.0,SUB,26.0,2022.0,France,Right,3,3,1,Medium/Medium,Lean (185+),No,57.0,72.0,57.0,66.0,28.0,63.0,57,76,77,64,57,67,42,33,51,69,62,53,55,68,70,72,88,69,70,67,32,24,78,57,68,64,22,20,24,11,14,13,13,13,,71+1,71+1,71+1,66,68,68,68,66,65+2,65+2,65+2,65+2,60+2,60+2,60+2,65+2,48+2,45+2,45+2,45+2,48+2,45+2,42+2,42+2,42+2,45+2,19+2,https://cdn.sofifa.net/players/236/621/22_120.png,https://cdn.sofifa.net/teams/1815/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/fr.png
4401,236830,https://sofifa.com/player/236830/zaydou-youssouf/220002,Z. Youssouf,Zaydou Youssouf,"CM, RM, CDM",71,77,3000000.0,14000.0,21,1999-07-11,182,81,1819.0,AS Saint-Étienne,French Ligue 1,1.0,SUB,28.0,2023.0,France,Left,3,3,1,Medium/Medium,Normal (170-185),No,64.0,57.0,71.0,75.0,64.0,71.0,62,53,47,76,55,78,66,65,73,77,64,64,70,64,71,72,65,72,70,51,72,68,68,71,55,70,64,67,61,13,9,10,12,11,,64+2,64+2,64+2,68,68,68,68,68,70+2,70+2,70+2,70+2,71+2,71+2,71+2,70+2,68+2,70+2,70+2,70+2,68+2,66+2,65+2,65+2,65+2,66+2,17+2,https://cdn.sofifa.net/players/236/830/22_120.png,https://cdn.sofifa.net/teams/1819/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/fr.png
4411,237386,https://sofifa.com/player/237386/kiernan-dewsbury-hall/220002,K. Dewsbury-Hall,Kiernan Dewsbury-Hall,"CM, CDM",71,79,4200000.0,42000.0,22,1998-09-06,177,70,95.0,Leicester City,English Premier League,1.0,RES,22.0,2024.0,England,Left,3,3,1,High/Medium,Normal (170-185),No,62.0,61.0,68.0,71.0,63.0,66.0,55,59,52,73,44,72,63,55,71,72,64,61,68,69,69,66,60,73,63,68,64,65,63,74,52,62,62,67,60,12,15,9,10,7,,64+2,64+2,64+2,67,68,68,68,67,70+2,70+2,70+2,68+2,71+2,71+2,71+2,68+2,66+2,68+2,68+2,68+2,66+2,65+2,64+2,64+2,64+2,65+2,17+2,https://cdn.sofifa.net/players/237/386/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png
4413,237522,https://sofifa.com/player/237522/jorge-cuenca-barreno/220002,Jorge Cuenca,Jorge Cuenca Barreno,CB,71,82,3900000.0,12000.0,21,1999-11-17,190,75,1860.0,Getafe CF,Spain Primera Division,1.0,SUB,15.0,2022.0,Spain,Left,3,2,1,Medium/Medium,Lean (185+),No,59.0,35.0,56.0,49.0,72.0,67.0,42,27,74,70,31,34,29,26,63,62,55,63,57,72,63,55,74,62,67,36,71,74,21,53,44,57,70,72,71,10,12,5,14,12,,49+2,49+2,49+2,48,48,48,48,48,51+2,51+2,51+2,51+2,58+2,58+2,58+2,51+2,64+2,68+2,68+2,68+2,64+2,66+2,71+2,71+2,71+2,66+2,18+2,https://cdn.sofifa.net/players/237/522/22_120.png,https://cdn.sofifa.net/teams/1860/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/es.png
4415,237631,https://sofifa.com/player/237631/lebo-mothiba/220002,L. Mothiba,Lebo Mothiba,ST,71,76,2800000.0,16000.0,25,1996-01-28,182,76,76.0,RC Strasbourg Alsace,French Ligue 1,1.0,SUB,12.0,2023.0,South Africa,Right,3,3,2,High/Medium,Normal (170-185),No,70.0,72.0,60.0,70.0,27.0,69.0,54,73,70,66,69,71,59,51,53,71,69,70,61,69,66,71,71,69,74,69,55,24,76,61,68,75,32,15,12,14,14,11,7,10,,71+2,71+2,71+2,68,70,70,70,68,68+2,68+2,68+2,67+2,61+2,61+2,61+2,67+2,49+2,47+2,47+2,47+2,49+2,45+2,43+2,43+2,43+2,45+2,18+2,https://cdn.sofifa.net/players/237/631/22_120.png,https://cdn.sofifa.net/teams/76/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/za.png
4419,238072,https://sofifa.com/player/238072/eduard-lowen/220002,E. Löwen,Eduard Löwen,"CM, CAM, CDM",71,76,2800000.0,22000.0,24,1997-01-28,188,91,160.0,VfL Bochum 1848,German 1. Bundesliga,1.0,SUB,38.0,2022.0,Germany,Right,4,3,1,Medium/High,Stocky (185+),Yes,53.0,62.0,68.0,67.0,70.0,85.0,58,52,70,73,47,70,64,73,66,72,51,54,38,74,60,88,62,84,89,69,82,66,63,72,36,63,71,73,65,5,10,5,12,13,,67+2,67+2,67+2,64,67,67,67,64,67+2,67+2,67+2,66+2,71+2,71+2,71+2,66+2,68+2,72+2,72+2,72+2,68+2,68+2,72+2,72+2,72+2,68+2,17+2,https://cdn.sofifa.net/players/238/072/22_120.png,https://cdn.sofifa.net/teams/160/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/de.png
4420,238196,https://sofifa.com/player/238196/arnor-sigurdhsson/220002,A. Sigurðsson,Arnór Sigurðsson,"CF, CAM, LM",71,80,4200000.0,24000.0,22,1999-05-15,177,75,205.0,Venezia FC,Italian Serie A,1.0,SUB,11.0,2022.0,Iceland,Right,3,3,1,High/Low,Lean (170-185),No,76.0,68.0,67.0,73.0,41.0,62.0,67,71,39,72,68,73,56,39,69,73,75,77,76,68,71,67,69,71,59,67,57,42,70,68,40,64,45,39,32,8,7,10,7,11,,67+2,67+2,67+2,71,71,71,71,71,71+2,71+2,71+2,71+2,67+2,67+2,67+2,71+2,59+2,57+2,57+2,57+2,59+2,55+2,49+2,49+2,49+2,55+2,15+2,https://cdn.sofifa.net/players/238/196/22_120.png,https://cdn.sofifa.net/teams/205/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/is.png
4422,238504,https://sofifa.com/player/238504/amine-bassi/220002,A. Bassi,Amine Bassi,"CAM, CM, RM",71,77,3000000.0,11000.0,23,1997-11-27,173,69,68.0,FC Metz,French Ligue 1,1.0,CAM,21.0,2025.0,Morocco,Right,4,4,1,High/Low,Normal (170-185),No,69.0,67.0,68.0,74.0,49.0,61.0,65,65,59,70,57,73,68,68,65,75,72,67,76,66,80,68,57,72,56,73,59,51,66,72,66,68,41,53,51,7,13,5,9,14,,67+2,67+2,67+2,70,70,70,70,70,71+2,71+2,71+2,70+2,68+2,68+2,68+2,70+2,62+2,61+2,61+2,61+2,62+2,60+2,55+2,55+2,55+2,60+2,17+2,https://cdn.sofifa.net/players/238/504/22_120.png,https://cdn.sofifa.net/teams/68/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/ma.png
4425,239322,https://sofifa.com/player/239322/christoph-zimmermann/220002,C. Zimmermann,Christoph Zimmermann,CB,71,71,1600000.0,21000.0,28,1993-01-12,194,92,1792.0,Norwich City,English Premier League,1.0,RES,6.0,2023.0,Germany,Right,3,2,1,Medium/High,Normal (185+),Yes,47.0,33.0,40.0,43.0,72.0,80.0,20,25,71,56,33,36,26,20,63,47,44,49,34,67,40,50,70,69,88,34,74,71,31,25,37,70,70,73,74,11,9,9,12,14,,46+2,46+2,46+2,39,42,42,42,39,42+2,42+2,42+2,43+2,50+2,50+2,50+2,43+2,58+2,65+2,65+2,65+2,58+2,61+2,71,71,71,61+2,17+2,https://cdn.sofifa.net/players/239/322/22_120.png,https://cdn.sofifa.net/teams/1792/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/de.png
4427,239367,https://sofifa.com/player/239367/robin-hack/220002,R. Hack,Robin Hack,"CAM, LM, CF",71,80,4200000.0,14000.0,22,1998-08-27,176,68,159.0,DSC Arminia Bielefeld,German 1. Bundesliga,1.0,SUB,21.0,2025.0,Germany,Right,4,4,1,High/Low,Lean (170-185),Yes,83.0,67.0,63.0,76.0,33.0,51.0,64,72,49,69,67,76,56,49,54,75,85,82,87,66,86,70,39,76,45,53,38,29,70,65,54,65,33,31,29,8,9,9,10,9,,68+2,68+2,68+2,72,71,71,71,72,71+2,71+2,71+2,72+2,64+2,64+2,64+2,72+2,56+2,50+2,50+2,50+2,56+2,53+2,41+2,41+2,41+2,53+2,15+2,https://cdn.sofifa.net/players/239/367/22_120.png,https://cdn.sofifa.net/teams/159/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/de.png
4428,239441,https://sofifa.com/player/239441/jordi-mboula-queralt/220002,Jordi Mboula,Jordi Mboula Queralt,"RM, LM",71,80,4200000.0,14000.0,22,1999-03-16,183,74,453.0,RCD Mallorca,Spain Primera Division,1.0,RM,7.0,2024.0,Spain,Right,4,3,1,Medium/Medium,Lean (170-185),No,87.0,66.0,62.0,75.0,32.0,63.0,64,67,53,65,61,78,55,53,59,72,85,88,78,60,73,68,51,68,71,62,39,24,63,59,64,71,32,30,28,7,9,14,10,15,,67+2,67+2,67+2,70,69,69,69,70,68+2,68+2,68+2,70+2,61+2,61+2,61+2,70+2,54+2,49+2,49+2,49+2,54+2,51+2,43+2,43+2,43+2,51+2,16+2,https://cdn.sofifa.net/players/239/441/22_120.png,https://cdn.sofifa.net/teams/453/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/es.png
4437,239964,https://sofifa.com/player/239964/eldor-shomurodov/220002,E. Shomurodov,Eldor Shomurodov,"ST, LW, RW",71,74,2500000.0,31000.0,26,1995-06-29,190,76,52.0,Roma,Italian Serie A,1.0,SUB,14.0,2026.0,Uzbekistan,Right,4,3,1,High/Medium,Lean (185+),No,81.0,70.0,62.0,70.0,37.0,69.0,55,70,74,67,73,69,68,52,58,75,83,80,71,57,70,72,61,67,76,66,55,34,70,65,65,60,32,33,30,8,11,5,7,5,,71+2,71+2,71+2,69,70,70,70,69,69+2,69+2,69+2,68+2,63+2,63+2,63+2,68+2,54+2,52+2,52+2,52+2,54+2,52+2,49+2,49+2,49+2,52+2,13+2,https://cdn.sofifa.net/players/239/964/22_120.png,https://cdn.sofifa.net/teams/52/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/uz.png
4440,240099,https://sofifa.com/player/240099/kevin-ruegg/220002,K. Rüegg,Kevin Rüegg,"RWB, RB, RM",71,80,4000000.0,13000.0,22,1998-08-05,173,77,206.0,Hellas Verona,Italian Serie A,1.0,SUB,19.0,2025.0,Switzerland,Right,3,3,1,Medium/Medium,Stocky (170-185),No,80.0,52.0,64.0,71.0,65.0,78.0,69,48,64,68,45,71,58,36,68,70,82,78,70,68,78,62,70,77,79,54,77,63,67,59,30,71,65,67,67,6,9,8,11,13,,64+2,64+2,64+2,67,66,66,66,67,66+2,66+2,66+2,69+2,67+2,67+2,67+2,69+2,69+2,68+2,68+2,68+2,69+2,69+2,68+2,68+2,68+2,69+2,16+2,https://cdn.sofifa.net/players/240/099/22_120.png,https://cdn.sofifa.net/teams/206/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/ch.png
4444,240507,https://sofifa.com/player/240507/angel-gomes/220002,A. Gomes,Adilson Angel Abreu de Almeida Gomes,"LM, ST",71,81,4100000.0,15000.0,20,2000-08-31,168,56,65.0,LOSC Lille,French Ligue 1,1.0,SUB,20.0,2025.0,England,Right,4,4,1,Medium/Medium,Lean (170-),No,75.0,70.0,69.0,74.0,40.0,58.0,63,71,62,71,65,72,68,68,70,72,77,73,87,67,90,69,56,61,58,70,53,37,69,69,66,71,36,41,35,14,15,14,6,14,,69+2,69+2,69+2,71,71,71,71,71,71+2,71+2,71+2,70+2,67+2,67+2,67+2,70+2,56+2,55+2,55+2,55+2,56+2,54+2,49+2,49+2,49+2,54+2,18+2,https://cdn.sofifa.net/players/240/507/22_120.png,https://cdn.sofifa.net/teams/65/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/gb-eng.png
4445,240661,https://sofifa.com/player/240661/emanuel-vignato/220002,E. Vignato,Emanuel Vignato,CAM,71,82,4100000.0,14000.0,20,2000-08-24,175,67,189.0,Bologna,Italian Serie A,1.0,SUB,55.0,2024.0,Italy,Right,4,4,1,Medium/Low,Lean (170-185),No,73.0,61.0,70.0,75.0,39.0,48.0,65,61,51,74,59,77,69,61,73,76,77,69,78,61,75,61,53,65,42,63,39,30,63,69,55,66,43,37,35,9,12,15,14,6,,64+2,64+2,64+2,70,69,69,69,70,71+2,71+2,71+2,70+2,67+2,67+2,67+2,70+2,56+2,54+2,54+2,54+2,56+2,53+2,45+2,45+2,45+2,53+2,16+2,https://cdn.sofifa.net/players/240/661/22_120.png,https://cdn.sofifa.net/teams/189/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/it.png
4446,240671,https://sofifa.com/player/240671/yildirim-mert-cetin/220002,Y. Çetin,Yıldırım Mert Çetin,CB,71,79,3900000.0,22000.0,24,1997-01-01,189,90,206.0,Hellas Verona,Italian Serie A,1.0,SUB,15.0,2022.0,Turkey,Right,3,2,1,Medium/High,Lean (185+),No,59.0,42.0,54.0,59.0,72.0,71.0,48,38,71,64,37,61,48,39,53,62,53,63,46,68,39,57,71,55,78,41,72,71,30,50,42,68,70,74,74,5,10,12,12,10,,54+2,54+2,54+2,53,54,54,54,53,54+2,54+2,54+2,55+2,57+2,57+2,57+2,55+2,64+2,66+2,66+2,66+2,64+2,66+2,71+2,71+2,71+2,66+2,16+2,https://cdn.sofifa.net/players/240/671/22_120.png,https://cdn.sofifa.net/teams/206/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/tr.png
4449,240787,https://sofifa.com/player/240787/hamed-junior-traore/220002,H. Traorè,Hamed Junior Traorè,"CAM, CM",71,84,4600000.0,14000.0,21,2000-02-16,177,68,111974.0,U.S. Sassuolo Calcio,Italian Serie A,1.0,SUB,23.0,2024.0,Côte d'Ivoire,Right,3,3,1,High/Medium,Normal (170-185),No,70.0,66.0,69.0,75.0,56.0,59.0,66,66,62,73,64,76,68,64,68,74,71,69,82,70,72,73,73,67,55,63,55,46,64,68,61,66,59,57,60,8,10,14,12,11,,68+2,68+2,68+2,70,70,70,70,70,71+2,71+2,71+2,70+2,68+2,68+2,68+2,70+2,64+2,63+2,63+2,63+2,64+2,63+2,59+2,59+2,59+2,63+2,17+2,https://cdn.sofifa.net/players/240/787/22_120.png,https://cdn.sofifa.net/teams/111974/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/ci.png
4451,240947,https://sofifa.com/player/240947/tyrick-mitchell/220002,T. Mitchell,Tyrick Mitchell,LB,71,79,4000000.0,20000.0,21,1999-09-01,180,70,1799.0,Crystal Palace,English Premier League,1.0,LB,3.0,2025.0,England,Left,3,2,1,High/Medium,Lean (170-185),Yes,74.0,37.0,56.0,66.0,71.0,65.0,66,35,53,61,36,65,51,39,53,63,76,73,78,69,75,38,57,71,60,37,74,70,52,47,45,59,74,74,71,9,12,14,8,14,,53+2,53+2,53+2,60,57,57,57,60,58+2,58+2,58+2,62+2,59+2,59+2,59+2,62+2,69+2,66+2,66+2,66+2,69+2,69+2,68+2,68+2,68+2,69+2,17+2,https://cdn.sofifa.net/players/240/947/22_120.png,https://cdn.sofifa.net/teams/1799/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png
4454,240988,https://sofifa.com/player/240988/denis-vavro/220002,D. Vavro,Denis Vavro,CB,71,78,3400000.0,27000.0,25,1996-04-10,189,81,46.0,Lazio,Italian Serie A,1.0,RES,19.0,2024.0,Slovakia,Right,3,2,1,Medium/Medium,Normal (185+),No,63.0,49.0,51.0,56.0,70.0,77.0,26,37,74,69,36,52,25,30,65,63,58,67,43,58,61,69,71,63,85,60,75,68,48,48,52,67,70,70,69,13,12,14,12,13,,58+2,58+2,58+2,52,56,56,56,52,56+2,56+2,56+2,54+2,60+2,60+2,60+2,54+2,61+2,67+2,67+2,67+2,61+2,63+2,71+2,71+2,71+2,63+2,18+2,https://cdn.sofifa.net/players/240/988/22_120.png,https://cdn.sofifa.net/teams/46/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/sk.png
4456,241070,https://sofifa.com/player/241070/nikola-maras/220002,N. Maraš,Nikola Maraš,CB,71,77,2600000.0,7000.0,25,1995-12-19,189,79,480.0,Rayo Vallecano,Spain Primera Division,1.0,SUB,2.0,2022.0,Serbia,Right,2,2,1,Medium/Medium,Normal (185+),No,67.0,37.0,50.0,56.0,72.0,75.0,31,38,72,70,28,49,24,28,51,60,66,68,65,64,55,48,80,74,77,29,71,66,28,46,32,68,72,73,76,10,9,12,11,14,,52+2,52+2,52+2,51,51,51,51,51,53+2,53+2,53+2,53+2,56+2,56+2,56+2,53+2,64+2,67+2,67+2,67+2,64+2,66+2,71+2,71+2,71+2,66+2,17+2,https://cdn.sofifa.net/players/241/070/22_120.png,https://cdn.sofifa.net/teams/480/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/rs.png
4468,242075,https://sofifa.com/player/242075/josh-sargent/220002,J. Sargent,Joshua Thomas Sargent,"ST, RW",71,82,4200000.0,18000.0,21,2000-02-20,185,79,1792.0,Norwich City,English Premier League,1.0,SUB,24.0,2025.0,United States,Right,4,3,1,High/Medium,Normal (185+),Yes,75.0,70.0,61.0,71.0,39.0,70.0,58,71,66,66,65,70,62,56,55,71,78,73,76,73,68,75,64,77,68,65,66,43,74,62,58,67,32,37,33,8,7,9,8,9,,71+2,71+2,71+2,70,71,71,71,70,69+2,69+2,69+2,69+2,64+2,64+2,64+2,69+2,57+2,55+2,55+2,55+2,57+2,55+2,51+2,51+2,51+2,55+2,15+2,https://cdn.sofifa.net/players/242/075/22_120.png,https://cdn.sofifa.net/teams/1792/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/us.png
4477,242603,https://sofifa.com/player/242603/harisson-marcelin/220002,H. Marcelin,Jean Harisson Marcelin,CB,71,79,3900000.0,18000.0,21,2000-02-12,197,82,69.0,AS Monaco,French Ligue 1,1.0,RES,15.0,2024.0,France,Right,3,2,1,Medium/Medium,Lean (185+),No,62.0,35.0,49.0,52.0,71.0,75.0,24,30,69,64,32,49,28,32,58,55,54,68,46,68,37,59,68,62,84,27,69,68,27,52,35,65,70,73,72,15,11,12,14,14,,50+2,50+2,50+2,47,49,49,49,47,51+2,51+2,51+2,50+2,56+2,56+2,56+2,50+2,60+2,66+2,66+2,66+2,60+2,63+2,71+2,71+2,71+2,63+2,19+2,https://cdn.sofifa.net/players/242/603/22_120.png,https://cdn.sofifa.net/teams/69/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/fr.png
4482,243016,https://sofifa.com/player/243016/alberto-soro-alvarez/220002,Alberto Soro,Alberto Soro Álvarez,RM,71,81,4200000.0,13000.0,22,1999-03-09,173,63,110832.0,Granada CF,Spain Primera Division,1.0,SUB,7.0,2025.0,Spain,Left,3,3,1,Medium/Medium,Lean (170-185),No,79.0,63.0,69.0,71.0,44.0,61.0,64,64,49,72,55,70,59,57,73,72,82,77,78,65,72,65,51,68,61,61,56,32,66,71,53,62,44,47,56,12,11,9,11,13,,66+2,66+2,66+2,70,69,69,69,70,70+2,70+2,70+2,70+2,67+2,67+2,67+2,70+2,60+2,58+2,58+2,58+2,60+2,58+2,52+2,52+2,52+2,58+2,17+2,https://cdn.sofifa.net/players/243/016/22_120.png,https://cdn.sofifa.net/teams/110832/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/es.png
4483,243019,https://sofifa.com/player/243019/tudor-baluta/220002,T. Băluță,Tudor Cristian Băluţă,"CDM, CM",71,82,4000000.0,25000.0,22,1999-03-27,188,80,1808.0,Brighton & Hove Albion,English Premier League,1.0,RES,68.0,2022.0,Romania,Right,2,2,1,Medium/High,Normal (185+),No,60.0,49.0,57.0,50.0,69.0,74.0,22,35,41,73,21,35,21,64,68,68,64,57,62,67,32,79,74,68,83,67,59,71,28,62,30,60,73,73,68,7,5,10,6,10,,52+2,52+2,52+2,51,54,54,54,51,57+2,57+2,57+2,52+2,63+2,63+2,63+2,52+2,62+2,70+2,70+2,70+2,62+2,63+2,68+2,68+2,68+2,63+2,14+2,https://cdn.sofifa.net/players/243/019/22_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/ro.png
4487,243497,https://sofifa.com/player/243497/sebastian-walukiewicz/220002,S. Walukiewicz,Sebastian Wiktor Walukiewicz,CB,71,81,3900000.0,13000.0,21,2000-04-05,188,85,1842.0,Cagliari,Italian Serie A,1.0,SUB,40.0,2024.0,Poland,Right,2,2,1,High/Medium,Normal (185+),No,61.0,38.0,49.0,59.0,72.0,73.0,23,36,71,70,28,56,37,22,58,65,64,58,51,62,51,42,76,68,79,42,63,70,41,40,38,70,72,74,73,10,14,6,15,6,,53+2,53+2,53+2,52,53,53,53,52,55+2,55+2,55+2,54+2,59+2,59+2,59+2,54+2,62+2,67+2,67+2,67+2,62+2,65+2,71+2,71+2,71+2,65+2,17+2,https://cdn.sofifa.net/players/243/497/22_120.png,https://cdn.sofifa.net/teams/1842/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/pl.png
4488,243526,https://sofifa.com/player/243526/mert-muldur/220002,M. Müldür,Mert Müldür,"RB, CB",71,80,4000000.0,15000.0,22,1999-04-03,188,74,111974.0,U.S. Sassuolo Calcio,Italian Serie A,1.0,SUB,17.0,2024.0,Turkey,Right,4,2,1,High/Medium,Lean (185+),No,77.0,49.0,60.0,72.0,67.0,72.0,60,46,72,69,42,68,46,37,60,75,78,76,82,68,71,57,81,78,70,54,66,64,38,52,35,65,67,68,66,6,6,12,6,7,,60+2,60+2,60+2,64,61,61,61,64,63+2,63+2,63+2,65+2,64+2,64+2,64+2,65+2,69+2,67+2,67+2,67+2,69+2,69+2,68+2,68+2,68+2,69+2,13+2,https://cdn.sofifa.net/players/243/526/22_120.png,https://cdn.sofifa.net/teams/111974/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/tr.png
4490,243558,https://sofifa.com/player/243558/oscar-valentin-martin-luengo/220002,Óscar Valentín,Óscar Valentín Martín Luengo,"CDM, CM",71,74,2200000.0,12000.0,26,1994-08-20,177,72,480.0,Rayo Vallecano,Spain Primera Division,1.0,SUB,23.0,2023.0,Spain,Right,3,2,1,Medium/High,Lean (170-185),No,66.0,45.0,61.0,62.0,69.0,72.0,51,28,59,69,35,59,38,37,65,66,65,67,63,63,70,68,72,83,67,60,72,72,65,67,40,60,68,72,71,11,8,13,10,8,,57+2,57+2,57+2,59,61,61,61,59,62+2,62+2,62+2,62+2,66+2,66+2,66+2,62+2,68+2,70+2,70+2,70+2,68+2,68+2,69+2,69+2,69+2,68+2,15+2,https://cdn.sofifa.net/players/243/558/22_120.png,https://cdn.sofifa.net/teams/480/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/es.png
4493,243945,https://sofifa.com/player/243945/gonzalo-caicedo-verdu/220002,Gonzalo Verdú,Gonzalo Cacicedo Verdú,CB,71,71,1200000.0,12000.0,32,1988-10-21,185,80,468.0,Elche CF,Spain Primera Division,1.0,CB,5.0,2023.0,Spain,Right,3,2,1,High/Medium,Normal (185+),No,57.0,53.0,55.0,56.0,72.0,77.0,38,49,69,62,42,51,48,64,60,58,54,60,63,68,56,63,76,68,83,54,75,73,39,57,63,59,76,69,65,5,6,9,7,11,,57+2,57+2,57+2,53,55,55,55,53,56+2,56+2,56+2,54+2,60+2,60+2,60+2,54+2,62+2,67+2,67+2,67+2,62+2,64+2,71,71,71,64+2,14+2,https://cdn.sofifa.net/players/243/945/22_120.png,https://cdn.sofifa.net/teams/468/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/es.png
4499,244257,https://sofifa.com/player/244257/jonathan-burkardt/220002,J. Burkardt,Jonathan Michael Burkardt,"ST, RM",71,81,4100000.0,13000.0,20,2000-07-11,181,76,169.0,1. FSV Mainz 05,German 1. Bundesliga,1.0,RS,29.0,2024.0,Germany,Right,3,3,1,Medium/Medium,Normal (170-185),No,79.0,68.0,61.0,75.0,37.0,69.0,55,69,62,69,64,81,54,35,60,71,78,79,74,70,69,71,75,68,68,64,69,35,72,60,55,57,36,33,31,14,9,9,6,14,,71+2,71+2,71+2,71,71,71,71,71,70+2,70+2,70+2,70+2,64+2,64+2,64+2,70+2,55+2,54+2,54+2,54+2,55+2,53+2,50+2,50+2,50+2,53+2,17+2,https://cdn.sofifa.net/players/244/257/22_120.png,https://cdn.sofifa.net/teams/169/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/de.png
